id;naziv;adresa;telefon;mib;pib
1;Rupee;Account structure SDD;deposit methodology Cheese;Rubber;lime Buckinghamshire Chips
2;Integration payment;Shoes Factors;stable Coordinator cross-platform;workforce Handcrafted Nevada;systematic
3;vertical Dollar;Creative Wooden;Personal Vista Carolina;Georgia;Nebraska Mill Chair
4;Missouri users;Turkey;incremental Automotive Colon;Cheese Fresh lime;teal Future
5;Cotton Beauty;Fresh Horizontal Spurs;transparent;Jewelery copy;Card
6;relationships transmitter;salmon;Loan indigo;Small;wireless HDD
7;Manager Chair;Ohio Balanced Berkshire;Director;system CSS Coves;flexibility repurpose
8;Program;Refined;Strategist back-end;JBOD;Motorway
9;Managed;scalable;Bike Rupee withdrawal;Bike Intelligent Concrete;Account alarm Computer
10;Associate;functionalities Bedfordshire Public-key;transmitter;web-enabled;Buckinghamshire Buckinghamshire
